Species,Family,RedlistCategory,Threat,LogRangeSize,LogBodyMass,Diet,Foraging,Migration,MatingSystem,NestPlacement,Territoriality,Habitat,IslandDwelling,LogClutchSize,LogNightLights,LogHumanPopulationDensity
Crypturellus_brevirostris,Tinamidae,LC,0,13.63290476,6.019833321,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.583292632,0.668740305,1.481604541
Crypturellus_casiquiare,Tinamidae,LC,0,11.36835277,6.019833321,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.583292632,0.472870805,0.405465108
Crypturellus_cinereus,Tinamidae,LC,0,15.59463075,6.227780954,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,0.693147181,0.752120619,1.458615023
Crypturellus_cinnamomeus,Tinamidae,LC,0,13.47468379,6.045005314,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.098612289,1.376491748,4.637637376
Crypturellus_duidae,Tinamidae,NT,0,11.78921843,6.054439346,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.583292632,0.651355562,0.916290732
Crypturellus_erythropus,Tinamidae,LC,0,14.0319103,6.184148891,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.098612289,1.13848502,3.529297384
Crypturellus_kerriae,Tinamidae,VU,1,8.723751973,6.019833321,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.583292632,0.447213595,1.526056303
Crypturellus_noctivagus,Tinamidae,NT,0,14.20047672,6.331484056,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.386294361,1.297019809,4.15261347
Crypturellus_obsoletus,Tinamidae,LC,0,14.42627536,6.094472297,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.504077397,1.326906811,4.127134385
Crypturellus_parvirostris,Tinamidae,LC,0,15.71155816,5.293254572,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.504077397,1.113987147,3.222867846
Crypturellus_ptaritepui,Tinamidae,LC,0,6.000919706,6.019833321,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.583292632,0.316227766,0.405465108
Crypturellus_soui,Tinamidae,LC,0,16.2265836,5.376018874,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,0.916290732,0.979370361,2.701361213
Crypturellus_strigulosus,Tinamidae,LC,0,14.76715751,6.065133137,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.386294361,0.908086519,2.163323026
Crypturellus_tataupa,Tinamidae,LC,0,15.39574563,5.388158071,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.504077397,1.190690845,3.549617387
Crypturellus_transfasciatus,Tinamidae,NT,0,10.64259232,5.645446898,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.386294361,1.258688981,4.332048265
Crypturellus_undulatus,Tinamidae,LC,0,15.95950093,6.335798655,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,weak,Terrestrial,No,1.504077397,0.939774487,2.197224577
Crypturellus_variegatus,Tinamidae,LC,0,15.50869442,5.934894196,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,0,0.757928931,1.722766598
Culicicapa_ceylonensis,Stenostiridae,LC,0,15.35320995,2.041220329,Invertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.252762968,1.170952997,4.943069975
Culicicapa_helianthea,Stenostiridae,LC,0,12.83942523,2.128231706,Invertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.794929875,1.133368103,5.299816243
Culicivora_caudacuta,Tyrannidae,VU,1,14.36819219,2.079441542,Invertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.99889426,1.199478827,3.222867846
Curaeus_curaeus,Icteridae,LC,0,13.33897251,4.427238977,Generalist,GroundForaging,PartiallyMigratory,Cooperative,ExposedElevated,weak,Terrestrial,No,1.504077397,0.917940618,2.624668592
Curaeus_forbesi,Icteridae,EN,1,4.721173862,4.49980967,Invertebrates,GroundForaging,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,0.916290732,2.064329225,6.014692673
Cursorius_coromandelicus,Glareolidae,LC,0,14.68388742,4.543294782,Invertebrates,GroundForaging,Sedentary,NonCooperative,ExposedGround,weak,Terrestrial,No,0.916290732,1.38031007,5.81711116
Cursorius_cursor,Glareolidae,LC,0,14.95309815,4.927253685,Invertebrates,GroundForaging,PartiallyMigratory,NonCooperative,ExposedGround,weak,Terrestrial,No,0.693147181,1.244665955,3.822098298
Cursorius_rufus,Glareolidae,LC,0,14.14632647,4.317354771,Invertebrates,GroundForaging,Sedentary,NonCooperative,ExposedGround,weak,Terrestrial,No,0.693147181,0.836660027,2.312535424
Cursorius_somalensis,Glareolidae,LC,0,13.93628768,4.927253685,Invertebrates,GroundForaging,Sedentary,NonCooperative,ExposedGround,weak,Terrestrial,No,0.768370602,0.547722558,2.541601993
Cursorius_temminckii,Glareolidae,LC,0,16.20151191,4.237000863,Invertebrates,GroundForaging,Sedentary,NonCooperative,ExposedGround,weak,Terrestrial,No,0.693147181,1.019426547,3.7208625
Cutia_legalleni,Leiotrichidae,NT,0,10.25444368,3.853334009,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,1.108145249,1.059479691,3.668676747
Cutia_nipalensis,Leiotrichidae,LC,0,13.65147071,3.853334009,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,1.108145249,1.073897695,3.879499814
Cyanerpes_caeruleus,Thraupidae,LC,0,15.7136731,2.48490665,Generalist,ArborealGleaning,Sedentary,NonCooperative,Cavity,none,Terrestrial,No,0.914402157,0.840896415,2.116255515
Cyanerpes_cyaneus,Thraupidae,LC,0,15.93648848,2.63905733,Generalist,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.693147181,0.968546928,2.778819272
Cyanerpes_lucidus,Thraupidae,LC,0,12.36420439,2.433613355,Generalist,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.693147181,0.976698112,3.339321978
Cyanerpes_nitidus,Thraupidae,LC,0,14.79870234,2.197224577,Fruit,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.914402157,0.727427153,1.360976553
Cyanicterus_cyanicterus,Thraupidae,LC,0,12.88806433,3.526360525,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.914402157,0.692519424,1.871802177
Cyanochen_cyanoptera,Anatidae,VU,1,12.79737092,7.326465614,TerrestrialPlants,GroundForaging,Sedentary,NonCooperative,ExposedGround,weak,Terrestrial,No,1.704748092,0.872683969,4.882801923
Cyanocitta_cristata,Corvidae,LC,0,15.71243787,4.477336814,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.504077397,1.530710588,3.610917913
Cyanocitta_stelleri,Corvidae,LC,0,15.05701655,4.852030264,Generalist,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.386294361,1.145202037,3.17805383
Cyanocompsa_brissonii,Cardinalidae,LC,0,15.5822708,3.314186005,Fruit,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.079194203,1.196570978,3.532225644
Cyanocompsa_cyanoides,Cardinalidae,LC,0,15.82717842,3.481240089,Seeds,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,0.87642146,2.32238772
Cyanocompsa_parellina,Cardinalidae,LC,0,13.26617554,2.749831735,Fruit,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,1.258688981,4.082609306
Cyanocorax_affinis,Corvidae,LC,0,13.03115141,5.356586275,Fruit,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,strong,Terrestrial,No,1.386294361,1.175596655,3.998200702
Cyanocorax_beecheii,Corvidae,LC,0,11.36052575,5.262690189,Generalist,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.504077397,0.948683298,2.867898902
Cyanocorax_caeruleus,Corvidae,NT,0,13.15942272,5.605802066,Generalist,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,1.33748061,4.329416684
Cyanocorax_cayanus,Corvidae,LC,0,13.96477882,5.164785974,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.387667045,0.752120619,1.648658626
Cyanocorax_chrysops,Corvidae,LC,0,14.85620944,5.111987788,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.504077397,1.150163317,3.157000421
Cyanocorax_cristatellus,Corvidae,LC,0,14.88116964,5.18178355,Generalist,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.098612289,1.133368103,3.104586678
Cyanocorax_cyanomelas,Corvidae,LC,0,14.28190249,5.332718793,Generalist,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.252762968,1,2.397895273
Cyanocorax_cyanopogon,Corvidae,LC,0,14.93658494,4.983606622,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.387667045,1.110352557,3.165475048
Cyanocorax_dickeyi,Corvidae,NT,0,9.505261181,5.198497031,Generalist,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.386294361,0.622332977,1.223775432
Cyanocorax_heilprini,Corvidae,LC,0,11.85456575,5.107641005,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.387667045,0.562341325,0.587786665
Cyanocorax_luxuosus,Corvidae,NE,0,13.26914618,4.363098625,Generalist,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,1.387667045,1.268600683,3.742420221
Cyanocorax_melanocyaneus,Corvidae,LC,0,11.67748776,4.615120517,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.252762968,1.278285361,4.827513417
Cyanocorax_morio,Corvidae,LC,0,13.42281295,5.318119994,Generalist,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,strong,Terrestrial,No,1.252762968,1.200924856,3.758871826
Cyanocorax_mystacalis,Corvidae,LC,0,11.30275243,5.039546638,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.387667045,1.251098551,4.264087337
Cyanocorax_sanblasianus,Corvidae,LC,0,11.12096377,4.691347882,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.252762968,1.195109069,3.735285827
Cyanocorax_violaceus,Corvidae,LC,0,15.03373263,5.568344504,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.609437912,0.790252997,1.360976553
Cyanocorax_yncas,Corvidae,LC,0,13.14903608,4.363098625,Generalist,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,strong,Terrestrial,No,1.386294361,1.235489276,4.158883083
Cyanocorax_yucatanicus,Corvidae,LC,0,12.14334049,4.770684624,Generalist,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.609437912,1.245960461,3.465735903
Cyanolanius_madagascarinus,Vangidae,LC,0,13.00713545,3.104586678,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.945849534,0.887356066,3.054001182
Cyanolimnas_cerverai,Rallidae,CR,1,6.911548077,5.164785974,AquaticAnimals,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Wetland,No,1.098612289,0.562341325,1.223775432
Cyanoliseus_patagonus,Psittacidae,LC,0,13.70934105,5.627189366,Generalist,ArborealGleaning,PartiallyMigratory,NonCooperative,Cavity,none,Terrestrial,No,1.098612289,0.960184589,2.028148247
Cyanoloxia_glaucocaerulea,Cardinalidae,LC,0,13.43506533,2.901421594,Generalist,ArborealGleaning,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.079194203,1.294722156,4.027135813
Cyanolyca_argentigula,Corvidae,LC,0,8.275019714,5.298317367,Generalist,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.387667045,0.942772211,3.126760536
Cyanolyca_armillata,Corvidae,LC,0,11.47841373,5.298317367,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.387667045,1.350862228,4.96284463
Cyanolyca_cucullata,Corvidae,LC,0,11.56438824,4.618382517,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,1.195109069,4.382026635
Cyanolyca_mirabilis,Corvidae,VU,1,8.226466489,3.958906591,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.387667045,0.88375617,3.100092289
Cyanolyca_nana,Corvidae,VU,1,8.449064232,3.713572067,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.916290732,1.091621514,4.529368473
Cyanolyca_pulchra,Corvidae,NT,0,9.889337917,4.644102396,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.387667045,0.83235829,2.884800713
Cyanolyca_pumilo,Corvidae,LC,0,11.54403452,3.850147602,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.387667045,1.280672459,4.829912459
Cyanolyca_turcosa,Corvidae,LC,0,11.03692791,4.644102396,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.387667045,1.395274967,4.427238977
Cyanolyca_viridicyanus,Corvidae,NT,0,12.19545801,4.78574021,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.387667045,0.733836822,2.351375257
Cyanophaia_bicolor,Trochilidae,LC,0,7.552762084,1.504077397,Nectar,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,Yes,0.693147181,2.107034546,5.515442846
Cyanopica_cyanus,Corvidae,LC,0,15.40402032,4.563410252,Invertebrates,GroundForaging,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.791759469,1.359898599,5.138148614
Cyanoptila_cyanomelana,Muscicapidae,LC,0,14.25861256,3.113515309,Invertebrates,GroundForaging,Migratory,NonCooperative,Cavity,weak,Terrestrial,No,1.609437912,1.56508458,5.214935758
Cyanoramphus_auriceps,Psittacidae,NT,0,11.08841056,3.820784525,Seeds,ArborealGleaning,Sedentary,NonCooperative,Cavity,none,Terrestrial,No,1.945910149,0.699927102,1.280933845
Cyanoramphus_cookii,Psittacidae,CR,1,1.667706821,4.502251132,Generalist,ArborealGleaning,Sedentary,NonCooperative,Cavity,none,Terrestrial,No,1.243417106,0,0
Cyanoramphus_forbesi,Psittacidae,VU,1,0.741937345,4.500920165,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,Cavity,none,Terrestrial,Yes,1.243417106,0,0
Cyanoramphus_malherbi,Psittacidae,CR,1,5.647564795,3.843744165,Generalist,ArborealGleaning,Sedentary,NonCooperative,Cavity,none,Terrestrial,No,1.098612289,0.547722558,0
Cyanoramphus_novaezelandiae,Psittacidae,LC,0,8.156079841,4.502251132,Generalist,ArborealGleaning,Sedentary,NonCooperative,Cavity,none,Terrestrial,Yes,1.945910149,0.622332977,1.458615023
Cyanoramphus_saisseti,Psittacidae,VU,1,9.704408368,4.502251132,Generalist,ArborealGleaning,Sedentary,NonCooperative,Cavity,none,Terrestrial,No,1.243417106,0.971286834,3.0301337
Cyanoramphus_unicolor,Psittacidae,VU,1,3.122364924,5.004147628,TerrestrialPlants,GroundForaging,Sedentary,NonCooperative,Cavity,none,Terrestrial,Yes,1.098612289,0.447213595,0
Cyclarhis_gujanensis,Vireonidae,LC,0,16.41713784,3.360375387,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.916290732,1.087757306,3.18221184
Cyclarhis_nigrirostris,Vireonidae,LC,0,11.3337366,3.46260601,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.124320645,1.318262007,4.875960391
Cyclopsitta_diophthalma,Psittacidae,LC,0,13.20223333,3.73385282,Generalist,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,0.916290732,0.904729394,2.58021683
Cyclopsitta_gulielmitertii,Psittacidae,LC,0,13.20505372,3.433987204,Seeds,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.243417106,0.642114135,2.079441542
Cygnus_atratus,Anatidae,LC,0,15.7121182,8.634649062,AquaticPlants,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedGround,weak,Wetland,No,1.252762968,0.757928931,1.410986974
Cygnus_buccinator,Anatidae,LC,0,14.13436348,9.312096098,AquaticPlants,AquaticSurface,Migratory,NonCooperative,ExposedGround,weak,Wetland,No,1.791759469,1.075910633,1.840549633
Cygnus_columbianus,Anatidae,LC,0,15.48344443,8.760603576,AquaticPlants,AquaticSurface,Migratory,NonCooperative,ExposedGround,weak,Wetland,No,1.386294361,0.740082804,0.182321557
Cygnus_cygnus,Anatidae,LC,0,16.65466884,9.143130553,AquaticPlants,AquaticSurface,Migratory,NonCooperative,ExposedGround,weak,Wetland,No,1.504077397,0.92115587,1.740466175
Cygnus_melancoryphus,Anatidae,LC,0,13.94963586,8.457799811,AquaticPlants,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedGround,weak,Wetland,No,1.791759469,1.06573058,3.202746443
Cygnus_olor,Anatidae,LC,0,15.40782772,9.276319106,AquaticPlants,AquaticSurface,Migratory,NonCooperative,ExposedGround,weak,Wetland,No,1.791759469,1.479394086,4.368181228
Cymbilaimus_lineatus,Thamnophilidae,LC,0,15.70914016,3.577947893,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.693147181,0.769160567,1.648658626
Cymbilaimus_sanctaemariae,Thamnophilidae,LC,0,13.11129373,3.356897123,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.699153205,0.819036259,1.386294361
Cymbirhynchus_macrorhynchos,Eurylaimidae,LC,0,14.36570934,4.084294226,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,1.098612289,1.156680084,4.254193263
Cynanthus_latirostris,Trochilidae,LC,0,13.51822021,1.131402111,Nectar,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.693147181,1.34060437,4.357990057
Cynanthus_sordidus,Trochilidae,LC,0,11.47416696,1.386294361,Nectar,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.693147181,1.192169049,3.80666249
Cyornis_banyumas,Muscicapidae,LC,0,14.38597212,2.674148649,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.504077397,1.230152265,5.02585226
Cyornis_caerulatus,Muscicapidae,VU,1,13.7778577,3.113070766,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,1.162423801,0.965783571,4.005513349
Cyornis_concretus,Muscicapidae,LC,0,13.67216765,3.802654468,Invertebrates,ArborealGleaning,PartiallyMigratory,NonCooperative,Cavity,weak,Terrestrial,No,0.693147181,1.035558076,4.197201948
Cyornis_hainanus,Muscicapidae,LC,0,14.18101205,3.289893312,Invertebrates,ArborealGleaning,PartiallyMigratory,NonCooperative,Cavity,weak,Terrestrial,No,1.162423801,1.310555761,4.932313327
Cyornis_herioti,Muscicapidae,NT,0,11.11365463,2.976549454,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.162423801,1.159897584,4.906015245
Cyornis_hoevelli,Muscicapidae,LC,0,9.757357124,3.305053521,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.162423801,0.53182959,2.674148649
Cyornis_hyacinthinus,Muscicapidae,LC,0,10.39456445,3.458207636,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.162423801,0.785137822,4.206184044
Cyornis_lemprieri,Muscicapidae,NT,0,9.304468035,3.068052935,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.162423801,0.83235829,3.910021003
Cyornis_magnirostris,Muscicapidae,LC,0,11.64024246,2.674148649,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.162423801,0.763606698,3.60004824
Cyornis_omissus,Muscicapidae,LC,0,12.06874434,2.890371758,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,strong,Coastal,No,1.162423801,0.836660027,4.394449155
Cyornis_pallipes,Muscicapidae,LC,0,10.69764003,2.944438979,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.386294361,0.976698112,4.872139217
Cyornis_poliogenys,Muscicapidae,LC,0,13.08755286,3.601958982,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.386294361,1.133368103,5.26837349
Cyornis_rubeculoides,Muscicapidae,LC,0,13.85690842,2.653241965,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.504077397,1.228807099,4.783316371
Cyornis_ruckii,Muscicapidae,CR,1,8.625670844,3.601958982,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.162423801,1.318262007,5.441984716
Cyornis_rufigastra,Muscicapidae,LC,0,13.23429162,2.90690106,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,strong,Coastal,No,0.693147181,1.264911064,5.393172898
Cyornis_sanfordi,Muscicapidae,EN,1,7.625155951,3.224460203,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.162423801,0.727427153,3.663561646
Cyornis_superbus,Muscicapidae,LC,0,13.43889177,3.305053521,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,1.162423801,0.88375617,3.19047635
Cyornis_tickelliae,Muscicapidae,LC,0,15.00537514,2.785628336,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.252762968,1.3677824,5.710758088
Cyornis_turcosus,Muscicapidae,NT,0,12.75580172,3.054944133,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,1.162423801,1.199478827,4.127134385
Cyornis_unicolor,Muscicapidae,LC,0,14.54492901,3.044522438,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.386294361,1.205231888,4.521788577
Cyphorhinus_arada,Troglodytidae,LC,0,15.31013573,3.039749159,Invertebrates,GroundForaging,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,0.693147181,0.714074192,1.280933845
Cyphorhinus_phaeocephalus,Troglodytidae,LC,0,12.58708043,3.202746443,Invertebrates,GroundForaging,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,0.916290732,1.004962932,3.391147046
Cyphorhinus_thoracicus,Troglodytidae,LC,0,11.85520012,3.442978916,Invertebrates,GroundForaging,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,0.693147181,0.948683298,3.374168709
Cypseloides_cherriei,Apodidae,DD,0,11.61796453,3.095577609,Invertebrates,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0,1.351875249,4.962145085
Cypseloides_cryptus,Apodidae,LC,0,12.93156213,3.542118073,Invertebrates,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0,1.061575606,3.703768067
Cypseloides_fumigatus,Apodidae,LC,0,14.65951262,3.736478433,Invertebrates,AerialScreaning,Migratory,NonCooperative,ExposedElevated,none,Terrestrial,No,0,1.310555761,3.975936331
Cypseloides_lemosi,Apodidae,LC,0,8.182531315,3.335769576,Invertebrates,AerialScreaning,Sedentary,NonCooperative,Cavity,none,Terrestrial,No,0.854788532,1.941208061,6.759603238
Cypseloides_niger,Apodidae,LC,0,14.08060233,3.680595235,Invertebrates,AerialScreaning,PartiallyMigratory,NonCooperative,ExposedElevated,none,Terrestrial,No,0,1.356906505,4.412798293
Cypseloides_rothschildi,Apodidae,NT,0,12.02315351,3.799525974,Invertebrates,AerialScreaning,Sedentary,NonCooperative,Cavity,none,Terrestrial,No,0.854788532,1.115791181,2.980618636
Cypseloides_senex,Apodidae,LC,0,14.51629029,4.40976339,Invertebrates,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.854788532,1.172507019,3.135494216
Cypseloides_storeri,Apodidae,DD,0,11.3441825,3.676300672,Invertebrates,AerialScreaning,Sedentary,NonCooperative,Cavity,none,Terrestrial,No,0.854788532,1.234161505,3.871201011
Cypsiurus_balasiensis,Apodidae,LC,0,15.73800665,2.209372711,Invertebrates,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.693147181,1.303840481,5.512621969
Cypsiurus_parvus,Apodidae,LC,0,16.60953844,2.610069793,Invertebrates,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.916290732,0.984650177,3.610917913
Cypsnagra_hirundinacea,Thraupidae,LC,0,14.97595364,3.446807893,Invertebrates,ArborealGleaning,Sedentary,Cooperative,ExposedElevated,strong,Terrestrial,No,1.252762968,1.110352557,2.833213344
Cyrtonyx_montezumae,Odontophoridae,LC,0,13.64803312,5.222407772,TerrestrialPlants,GroundForaging,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,2.397895273,1.292412205,4.272490748
Cyrtonyx_ocellatus,Odontophoridae,VU,1,11.7816357,5.294208939,TerrestrialPlants,GroundForaging,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,1.994700313,1.249819961,4.682131227
Dacelo_gaudichaud,Alcedinidae,LC,0,13.41687845,4.96284463,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,0.693147181,0.622332977,2.079441542
Dacelo_leachii,Alcedinidae,LC,0,14.59630761,5.730034846,Invertebrates,AerialSallying,Sedentary,Cooperative,Cavity,strong,Terrestrial,No,1.252762968,0.785137822,1.064710737
Dacelo_novaeguineae,Alcedinidae,LC,0,14.69674986,5.810542011,Invertebrates,AerialSallying,Sedentary,Cooperative,Cavity,strong,Terrestrial,No,1.098612289,0.872683969,2.104134154
Dacelo_tyro,Alcedinidae,LC,0,10.51541654,4.982921456,Invertebrates,AerialSallying,Sedentary,Cooperative,Cavity,strong,Terrestrial,No,1.32591385,0.562341325,2.850706502
Dacnis_albiventris,Thraupidae,LC,0,13.84477883,2.415913778,Fruit,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.914402157,0.676947243,1.223775432
Dacnis_berlepschi,Thraupidae,VU,1,9.368232615,2.545531272,Fruit,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.914402157,1.009853407,3.594568775
