Species,Family,RedlistCategory,Threat,LogRangeSize,LogBodyMass,Diet,Foraging,Migration,MatingSystem,NestPlacement,Territoriality,Habitat,IslandDwelling,LogClutchSize,LogNightLights,LogHumanPopulationDensity
Accipiter_castanilius,Accipitridae,LC,0,14.55570081,5.059488948,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.89790076,3.411147713
Accipiter_chilensis,Accipitridae,NE,0,13.4125936,5.908082938,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.979370361,2.995732274
Accipiter_chionogaster,Accipitridae,NE,0,11.84414751,5.807962294,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.754695306,1.215105883,4.582924577
Accipiter_cirrocephalus,Accipitridae,LC,0,15.51819192,5.110359958,Vertebrates,AerialScreaning,PartiallyMigratory,NonCooperative,ExposedElevated,strong,Terrestrial,No,1.252762968,0.800195241,1.757857918
Accipiter_collaris,Accipitridae,NT,0,12.44222403,5.807962294,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,1.057371263,3.735285827
Accipiter_cooperii,Accipitridae,LC,0,15.94277066,6.063017472,Vertebrates,AerialScreaning,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.504077397,1.474739407,3.520460802
Accipiter_erythrauchen,Accipitridae,NT,0,10.78208265,5.049856007,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.651355562,3.430756184
Accipiter_erythronemius,Accipitridae,NE,0,15.30305953,4.828313737,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.754695306,1.210903724,3.589059119
Accipiter_erythropus,Accipitridae,LC,0,15.17771794,4.711330382,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,1,3.848017675
Accipiter_fasciatus,Accipitridae,LC,0,15.91722745,5.882374865,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.916290732,0.740082804,1.589235205
Accipiter_francesiae,Accipitridae,LC,0,13.16056126,4.918666193,Invertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,1.098612289,0.88375617,3.17805383
Accipiter_gentilis,Accipitridae,LC,0,17.27413279,6.763931097,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,strong,Terrestrial,No,1.252762968,1.161496344,3.169685581
Accipiter_griseiceps,Accipitridae,LC,0,11.85370911,5.528476253,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.684866101,3.824284091
Accipiter_gularis,Accipitridae,LC,0,15.38059209,4.792976673,Vertebrates,AerialSallying,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.252762968,1.22338177,4.14472077
Accipiter_gundlachi,Accipitridae,EN,1,9.444811523,6.514712691,Vertebrates,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.252762968,1.050969125,4.921439715
Accipiter_haplochrous,Accipitridae,NT,0,9.704402266,5.290335597,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.098612289,0.968546928,3.0301337
Accipiter_henicogrammus,Accipitridae,NT,0,10.03372164,5.807962294,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.611690885,3.47506723
Accipiter_henstii,Accipitridae,NT,0,12.98226832,6.956545443,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,0.868897833,3.086486637
Accipiter_imitator,Accipitridae,VU,1,9.215347814,5.404882157,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.514368672,1.945910149
Accipiter_luteoschistaceus,Accipitridae,VU,1,9.756326555,5.365976015,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.547722558,1.064710737
Accipiter_madagascariensis,Accipitridae,NT,0,13.07442109,5.195232038,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.098612289,0.849182109,3.19047635
Accipiter_melanochlamys,Accipitridae,LC,0,11.65659195,5.579729826,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.668740305,2.867898902
Accipiter_melanoleucus,Accipitridae,LC,0,16.02016194,6.549636436,Vertebrates,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.098612289,1.012272234,3.875359021
Accipiter_meyerianus,Accipitridae,LC,0,12.50257892,6.637965514,Vertebrates,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.098612289,0.651355562,2.734367509
Accipiter_minullus,Accipitridae,LC,0,15.73161355,4.470838473,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,0.965783571,3.629660094
Accipiter_nanus,Accipitridae,NT,0,11.61256082,5.807962294,Invertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.809780126,4.018183201
Accipiter_nisus,Accipitridae,LC,0,16.97663686,5.397212024,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.504077397,1.242064758,3.650658241
Accipiter_novaehollandiae,Accipitridae,LC,0,14.40720784,5.787081414,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.916290732,0.945741609,2.332143895
Accipiter_ovampensis,Accipitridae,LC,0,15.80271368,5.272999559,Vertebrates,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.098612289,0.994962056,3.61361697
Accipiter_poliocephalus,Accipitridae,LC,0,13.41727004,5.369521126,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0,0.622332977,2.066862759
Accipiter_poliogaster,Accipitridae,NT,0,15.79007325,7.222135269,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,1.007417072,2.890371758
Accipiter_princeps,Accipitridae,VU,1,9.354406083,5.807962294,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.562341325,0.832909123
Accipiter_rhodogaster,Accipitridae,LC,0,11.89161392,5.151613887,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.733836822,3.860729711
Accipiter_rufitorques,Accipitridae,LC,0,9.77457974,5.342334252,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.916290732,1.014673846,4.258445573
Accipiter_rufiventris,Accipitridae,LC,0,13.53587377,5.288267031,Vertebrates,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.098612289,0.880111737,4.633757643
Accipiter_soloensis,Accipitridae,LC,0,14.68041561,5.104550562,Vertebrates,AerialSallying,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.386294361,1.434118677,5.678464667
Accipiter_striatus,Accipitridae,LC,0,16.23491223,4.872062644,Vertebrates,AerialScreaning,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.504077397,1.261188872,3.08190997
Accipiter_superciliosus,Accipitridae,LC,0,15.96263084,4.600258142,Vertebrates,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,0.99749057,2.884800713
Accipiter_tachiro,Accipitridae,LC,0,15.45887637,5.942799375,Vertebrates,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.916290732,1.002490679,3.597312261
Accipiter_toussenelii,Accipitridae,LC,0,15.34107857,5.518616877,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.979370361,4.043051268
Accipiter_trinotatus,Accipitridae,LC,0,11.69723588,4.983606622,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.754695306,0.746174535,3.862832761
Accipiter_trivirgatus,Accipitridae,LC,0,15.02936402,5.579880758,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,1.196570978,4.793308128
Accipiter_ventralis,Accipitridae,NE,0,13.25504238,5.451038454,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.754695306,1.252373233,4.333361463
