"","Enclosed","Dome","Cavity","Open","Egg","Ground","Cooperative","Clutch","Migration","pred","tmean","dtr","hurs","rsds","vpd","precp","wind","Order","PC1","PC2"
"Cercomacra_manu",1,1,0,0,1.03026998730023,0,0,0.699153205,1,166.47027279086,24.8891834580112,7.60706820035487,66.8683190117852,17.1216513850967,1046.56974936566,164.770925579218,1.15424809473382,"Passeriformes",-1.58312118508271,0.792279031225023
"Cercomacra_melanaria",0,0,0,1,0.916290731874155,0,0,0.693147181,1,149.774503311258,25.1188737502951,8.27745594757282,61.6684400747943,17.6076273763417,1228.0951728265,136.265297873289,2.25191768068352,"Passeriformes",-0.374940642811634,0.959581702108188
"Cercomacra_nigricans",1,1,0,0,0.974559639998131,0,0,0.693147181,1,108.78631138976,25.0671780450715,6.51790209897758,66.6614502784227,16.6635770543616,1075.61314098713,226.478504758893,1.74726506857476,"Passeriformes",-1.89300446975201,0.762024969162972
"Cercomacra_serva",0,0,0,1,0.8754687373539,0,0,0.699153205,1,166.531432523824,24.8574038761196,6.90637468998519,69.4822080282662,16.4910539306203,959.536731906425,209.191478579146,0.881536065256398,"Passeriformes",-2.35712998519377,0.667356809452541
"Cercomacra_tyrannina",1,1,0,0,0.941958478622733,0,0,0.693147181,1,149.932720317271,24.9990280980632,6.97248508970957,67.8950461554083,16.7502511539285,1027.37241804988,225.867291688375,1.27679481240529,"Passeriformes",-2.0869368400764,0.758889625881086
"Cercomela_familiaris",1,0,1,0,1.02604159583327,1,0,1.098612289,1,101.207383171393,23.0021510167701,11.8160059665119,52.4179045047265,21.6960271797127,1384.71094215661,68.8043896205813,2.84307362449777,"Passeriformes",2.24929786934827,1.09975698575637
"Cercomela_fusca",1,0,1,0,0.966983846189673,0,0,1.162423801,1,80.1151726464965,29.1763097545103,13.0619550436155,46.1364266251086,23.1660422156839,2251.23806289366,42.7289064777084,3.09258855927072,"Passeriformes",3.72269425059283,3.44208269558022
"Cercomela_melanura",1,0,1,0,0.815364813284194,1,0,1.252762968,1,33.9010579725791,26.026413348405,13.6234997910762,40.6361761700576,23.8831743285451,2133.59895502449,10.1054297643444,4.30998202878147,"Passeriformes",4.93853434411314,2.66788530740911
"Cercomela_schlegelii",1,0,1,1,0.926241062727323,1,0,1.098612289,1,67.4250934622048,20.4687869436404,14.7166138583159,46.8044243279766,25.8532252006917,1319.10730932143,20.2054264787729,3.71808238143396,"Passeriformes",4.43616033344302,0.691559963371653
"Cercomela_scotocerca",1,0,1,0,0.744723520686271,1,0,1.162423801,1,83.543068640646,21.9261540057361,10.8493074664839,52.9471305600727,20.7541351793271,1270.8235236639,54.2159573367595,2.95546340392865,"Passeriformes",1.95504084270278,0.6943094423044
"Cercomela_sinuata",0,0,0,1,0.900161349944271,1,0,0.916290732,1,65.7867895146639,19.1269662504595,14.6456444412586,48.3171434825716,25.7737838756008,1181.71297564335,31.9846375757089,3.81757326083402,"Passeriformes",4.23865847530979,0.256295380822109
