"","pred","tmean","dtr","hurs","rsds","vpd","precp","wind"
"Acanthis_flammea",36.1233822018863,-0.078953320701104,9.00344282385459,59.6737352378518,16.078713063386,328.459964886704,48.6612676628765,2.83341834645042
"Accipiter_badius",93.349859032157,24.1080352078691,10.9648073428011,53.8969597931746,20.5813953673053,1465.25441413561,87.6237024631621,2.72284978403541
"Accipiter_brevipes",50.0552558508528,12.8088290237993,10.5526199962732,54.2127904940389,19.3320711810737,820.584793824404,39.9044257408946,3.84146263261534
"Accipiter_cooperii",53.9314803432812,13.1871400713955,11.5797921889669,53.6600550861459,21.3156450390097,802.293216407903,77.4022763373788,3.20856261493925
"Accipiter_gentilis",43.2411158685938,4.44206078794367,9.78778747570282,57.8406386664206,17.5121977783713,446.858829285984,57.3937582904791,3.06635422798324
"Accipiter_gularis",49.2671703484712,6.20113023410608,10.863125611512,54.958222266654,18.4478876457393,504.281107539524,66.6420903378171,3.0032520117991
"Accipiter_melanoleucus",111.498630448228,23.4052849436469,9.6351353956491,59.5376436365865,19.3552029249761,1196.86151268117,107.116965403709,2.1654300375374
"Accipiter_nisus",45.2268155295096,5.58115282051091,9.68845111447699,57.7694588493978,17.2611633676679,482.900225949004,57.7272986943592,2.97095393115598
"Accipiter_poliogaster",171.853066511479,25.287146045549,7.23121417048332,68.0262135162637,16.9029588585299,1033.78450732996,202.865688071686,1.11153694112456
"Accipiter_soloensis",82.947415649677,16.6971664601684,8.3702520706503,61.3214989646424,15.3704171290692,779.818221443434,161.075288777889,2.83387788539192
"Accipiter_striatus",62.9466705010225,9.4252128243591,11.1198226748251,55.5465391635407,20.7452707425644,625.34107449279,78.4987615687594,2.90458620898235
"Acrocephalus_agricola",54.7375038020886,11.0027662587827,10.7380991616356,54.4142669427108,18.994283775547,744.715797109487,33.787154056752,3.98116564100417
"Acrocephalus_arundinaceus",52.5895531549227,10.9762658464921,9.71350884472683,57.1572010199268,17.6881336809053,650.934574806687,46.8689553205106,3.73635920212533
"Acrocephalus_bistrigiceps",46.2415493804884,12.2104784557539,10.9443498838397,52.9373938907975,19.0952657592092,756.854996423206,56.9812872624635,3.82150383406019
"Acrocephalus_concinens",53.5581420765027,17.64037145513,10.2713341624359,55.5560529890217,18.3993536187261,953.103919349212,98.9598318041609,3.32734104267886
"Acrocephalus_dumetorum",52.4534010494392,6.22462847625791,9.3322731116978,57.5908865674542,16.1800610783964,479.247312733178,47.7319917177388,3.05742099840715
"Acrocephalus_griseldis",35.9920159680639,27.8954092813823,13.8642567960088,38.1296831386056,24.6961427981744,2576.90615351329,12.1960622421996,4.12537224278479
"Acrocephalus_melanopogon",51.4797323888233,14.5588080177435,10.2655832319924,55.0149494803172,19.3629840740488,866.749383943656,42.8781233910077,3.60226604221656
"Acrocephalus_orientalis",49.1677671281505,13.6203308650522,10.5489451998127,54.0360932902322,18.7574231343782,791.796925877797,71.3136523648615,3.69857266132062
"Acrocephalus_orinus",31.8333333333333,-1.91484206914902,10.305503209432,60.6330369313558,26.5545969009399,237.133499145508,65.819034576416,3.01767828067144
"Acrocephalus_paludicola",49.5074626865672,10.2043354790009,8.80422070133152,59.4448982020516,15.6459131632278,547.194809339533,52.034151300269,3.79466693525884
"Acrocephalus_palustris",50.6198107702568,9.5645155280376,8.81709085545984,58.8998019099832,16.253785731356,550.931311460446,56.8714038707607,3.43178227682209
"Acrocephalus_schoenobaenus",44.607548843084,7.86595003330942,9.36005995796162,58.1249421333358,16.9060872686037,556.803957551102,45.8992825159284,3.98842611301189
"Acrocephalus_scirpaceus",77.9602869425989,18.974489259468,11.0065289727303,53.9580421549711,20.5664932971796,1114.05086609471,53.6933626893617,3.22704937829513
"Acrocephalus_stentoreus",65.9896007287081,19.1771428127005,11.2990904101825,52.4473209649432,20.6001818838236,1213.2149376922,74.6651000494841,3.39798738902189
"Acrocephalus_tangorum",53.3642131979695,7.82953387408087,11.3690343956052,52.124981392862,18.8031850619566,590.38252639125,44.3906032405731,3.8681524995519
"Actitis_hypoleucos",43.6144653194588,6.79958896740268,10.1305188583575,56.3194462148609,18.4488654168495,579.019855462959,44.6384109215235,3.79407903424514
"Actitis_macularius",40.8681698828825,8.32337588644222,10.6309207334269,56.7935779634971,19.0447083812534,568.451130305246,68.4697074712463,4.19980918082719
"Aechmophorus_clarkii",53.8192873303167,12.2831601739537,13.1595806670944,51.8336506321419,21.9989232655564,767.691898017987,47.2250088981913,3.75711089092817
"Aechmophorus_occidentalis",53.0791536050157,11.6872382269882,13.0221314477572,52.1394540055294,21.6880377113757,738.586686420341,47.3944710740973,3.76294074222336
"Aegithalos_caudatus",46.7756537851864,6.84196264629719,9.65634320155907,57.4173939892093,17.2250594115471,503.076476259993,57.4877554027213,3.11845998361534
"Aegolius_acadicus",53.7202518363064,7.61012284520785,12.8546750075169,51.0671232593773,23.5657944442093,601.35105174526,56.1059346041925,3.11410989204709
