"","pred","tmean","dtr","hurs","rsds","vpd","precp","wind"
"Gallicolumba_menagei",29.1666666666667,26.8447615305583,1.51907126108805,65.3909098307292,20.2477795283,1221.52927652995,124.593702952067,1.60266878207525
"Gallicolumba_platenae",39.3333333333333,26.495236714681,4.25085639953613,67.3336283365885,18.4149468739827,1137.02469889323,234.636947631836,2.28858264287313
"Galloperdix_bicalcarata",71.728125,25.7487123906612,7.41726434528828,64.6763666391373,18.9478797078133,1190.93503513336,161.626326322556,3.06777049042284
"Galloperdix_lunulata",82.5184331797235,26.4448537793577,10.852866557886,53.1783651734277,19.8802893018942,1687.61931947629,87.6174397292774,2.76097127719684
"Galloperdix_spadicea",85.4591823977997,26.675618271721,10.9931796164882,51.8081547817836,19.7622539087718,1758.83548196057,82.0018058466396,2.92621691591487
"Gallus_lafayettii",66.6600361663653,26.3329292145603,7.13547805420529,63.517733975733,19.3342200412026,1274.51141180828,139.594227051002,3.2660514995806
"Gallus_sonneratii",85.3844155844156,26.3970957733749,10.4223006922734,54.1820569779037,19.4895392779065,1634.06146008776,101.677977331087,2.946734192006
"Gampsorhynchus_rufulus",115.379797441365,23.409131778837,9.26315967309704,61.8259721900354,17.4604352616044,1126.11836616825,250.428422681813,1.65311067981093
"Gampsorhynchus_torquatus",132.244946492271,21.7716293371815,8.74930035770294,64.5110598948566,16.2960103590055,938.737037558901,161.153494566147,2.24691996662285
"Garrulax_albogularis",81.9315689079638,12.8115816473967,10.1052592858054,60.3729494601474,18.8936989435879,644.696042771674,142.369311632858,2.39506328880474
"Garrulax_annamensis",123.978260869565,21.0615638235341,8.61049778565117,66.6497465216595,18.0807663461436,840.549247409986,186.096745366636,2.6155065945957
"Garrulax_berthemyi",102.75918598078,17.0937990519608,7.26016655825437,66.1618062650638,12.7126666048006,694.148428374054,207.735767172581,2.55428029488142
"Garrulax_bieti",78.6892655367232,8.26092221373219,9.76667410101594,63.9055426646087,19.9038622581353,429.01986452954,103.380111974511,3.27579696703765
"Garrulax_caerulatus",107.427613941019,16.1580706499217,8.43952628083267,65.2766006254958,16.6929842812127,674.26219477922,316.788129898562,1.45495762230564
"Garrulax_calvus",163.9765625,20.7311878204346,7.99228890240192,68.947450876236,17.6868085637689,765.282999038696,310.936193704605,1.16309415828437
"Garrulax_canorus",96.1169984010586,19.2905572201994,7.86145965520751,63.3881927278225,14.2171631369417,853.943121110065,185.911998937758,2.56123486568247
"Garrulax_castanotis",132.834013605442,20.9183883965421,8.16684656727071,66.8158199751458,15.7120691766544,832.645207120934,174.55068438264,2.58981921802573
"Garrulax_chinensis",123.451072447758,22.397268398706,8.60067664585993,63.568771129834,16.0834276904654,1007.24239109661,167.325292299852,2.33015393017954
"Garrulax_cineraceus",115.399556048835,18.7923694688922,10.1995842295402,60.324581878696,18.7699025965954,874.489186751591,175.717282751424,2.38760653485469
"Garrulax_cinereiceps",98.3819556451613,18.2045828206885,7.87924688001794,63.8889022069593,13.9522687197693,789.513334744976,193.588403688708,2.46777948034146
"Garrulax_cinereifrons",72.9166666666667,24.7134275701311,6.20644344886144,67.5184883541531,18.5745857954025,1023.64881430732,221.931423823039,2.19653709150023
"Garrulax_davidi",46.1542016806723,8.71188363089488,11.6159307353637,53.1967846638014,20.3818703715541,585.269575462021,61.2980591902212,3.60249485493708
"Garrulax_delesserti",105.925855513308,23.7084395405004,9.01986600418961,63.8179812340682,18.4300752139363,1078.30475398887,209.89902143152,2.8379936401835
"Garrulax_ferrarius",119.5,21.7401568094889,7.39706707000732,67.8380222320557,16.921372572581,838.695622762044,255.358099619548,1.87244354685148
"Garrulax_galbanus",122.586005830904,20.9544618122779,9.590203510429,62.6142270391259,18.2906458551613,931.7422163271,237.333647436025,1.80982463248617
"Garrulax_gularis",127.710581639804,21.4762158704623,8.30370603546699,64.5112752105777,16.3926665273344,923.717424249682,281.973376850858,1.70767405343039
"Garrulax_konkakinhensis",129.94,19.4611317825317,7.39002279281616,69.6353277587891,16.2164568519592,696.761627197266,222.402752685547,2.83284141778946
"Garrulax_koslowi",25.5744680851064,1.16522873979696,12.9593849587948,57.2504241618704,25.5229674805986,318.681317268534,63.9824827478287,4.27431717832038
"Garrulax_lanceolatus",91.2701120797011,15.8139173005277,9.06543162649922,62.2487789999652,16.0768944708229,729.806072399477,151.387616114302,2.68455612693228
"Garrulax_leucolophus",118.318655438196,22.5789081594653,8.95999845504216,62.8667238667254,17.0945562215114,1045.29567614617,201.005545816522,1.98815317981343
"Garrulax_lunulatus",74.997393570808,11.584429158427,8.94508415010056,62.1194577519527,16.2622794019565,556.474350041871,117.844242172175,2.58403877601947
"Garrulax_maesi",116.667337550316,19.0214855008731,7.41660718344765,65.6538131005329,13.2305864073066,790.97808571147,185.693430996544,2.60761233134267
"Garrulax_maximus",60.7430340557276,6.72706942972525,10.6787497610992,60.9862974322371,20.3593930012178,418.060004841555,107.89527041452,3.34655941928995
"Garrulax_merulinus",126.924877707897,20.0171115733293,9.73312161970105,61.780849851319,17.1568284874442,908.599296137972,179.301981109577,1.94935633141123
"Garrulax_milleti",127.942528735632,20.5388142267863,7.96100564386653,68.082155381126,17.0172344624311,782.982016026289,204.007984205224,2.71040553882204
"Garrulax_monachus",102.479338842975,22.7223072524898,6.89560220261251,66.936902038322,16.3335751226126,932.123986614637,176.886314013773,2.3180265702492
"Garrulax_monileger",118.613157894737,22.3306769882001,8.37826282606627,63.8585236501192,15.9506649503708,1003.67521102263,208.266553628821,2.20182672660445
"Garrulax_nuchalis",126.438383838384,23.6449025394941,8.53805238743021,62.2981855758513,16.8024970565179,1110.62181112887,268.896448647855,1.13775846313949
"Garrulax_ocellatus",83.8188702415063,12.6509253165205,9.9181758171703,61.0738773291295,18.281868486096,624.110261958494,143.714277257697,2.50804373398698
"Garrulax_pectoralis",110.872174803687,20.7802875613222,8.39416561755112,63.3769470313825,15.3525694195587,936.916824762794,208.660552155406,2.14952202558965
"Garrulax_perspicillatus",89.5200484188228,19.5175909682903,7.86905195897386,62.8700949030648,14.4180072036087,878.540130545971,193.448930341224,2.63299943450576
"Garrulax_poecilorhynchus",77.5986394557823,18.2602472240422,6.24730114061005,66.9661791275959,15.9162126333535,720.233418990155,309.60772694698,1.86604385432743
"Garrulax_ruficeps",77.9367088607595,16.2211958728259,6.7221072716049,66.4353452272053,15.8731861476657,638.758311597607,321.707194267949,1.76835663107377
"Garrulax_ruficollis",120.627815092849,22.6258286668679,8.96176274441674,62.1097912300438,17.217593080015,1067.63955559461,274.156462619258,1.46568483560512
"Garrulax_rufogularis",101.627018299247,18.966628681343,10.3364291586327,58.3477985558648,19.6312016270517,957.67900174144,216.251550516348,1.63626852759889
"Garrulax_sannio",85.6824527785382,19.4233040382788,8.23440226586982,62.5751752500954,14.7248541813435,879.882088382114,171.019014614887,2.50388852679628
"Garrulax_strepitans",127.448340638698,22.5860881148537,9.49408998292315,62.0159089572742,17.0312811356451,1047.88740420118,134.64324171034,2.06330908076347
